City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Belagavi,Economy,Bank branches operating as of 31st March 2019,* None,Number,153,15.8572666,74.5069343
Vasai Virar,Economy,Bank branches operating as of 31st March 2019,* None,Number,145,19.4210423,72.8197221
Puducherry,Economy,Bank branches operating as of 31st March 2019,* None,Number,129,10.91564885,79.8069488
Tirupati,Economy,Bank branches operating as of 31st March 2019,* None,Number,128,13.6316368,79.4231711
Tiruppur,Economy,Bank branches operating as of 31st March 2019,* None,Number,127,11.1017815,77.345192
Kakinada,Economy,Bank branches operating as of 31st March 2019,* None,Number,126,16.99716705,82.2457999
Shivamogga,Economy,Bank branches operating as of 31st March 2019,* None,Number,115,14.0558284,75.1312534
Agartala,Economy,Bank branches operating as of 31st March 2019,* None,Number,112,23.8312377,91.2823821
Aligarh,Economy,Bank branches operating as of 31st March 2019,* None,Number,111,27.833333,78.166667
Erode,Economy,Bank branches operating as of 31st March 2019,* None,Number,110,11.3692044,77.67662687
Saharanpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,109,30.0196485,77.59294245
Muzaffarpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,108,26.1667052,85.4166314
Rourkela,Economy,Bank branches operating as of 31st March 2019,* None,Number,107,22.2539994,84.85775201
Solapur,Economy,Bank branches operating as of 31st March 2019,* None,Number,106,17.84990665,75.27632027
Imphal,Economy,Bank branches operating as of 31st March 2019,* None,Number,101,24.7991162,93.9364419
Patna,Economy,Bank branches operating as of 31st March 2019,* None,Number,100,25.6093239,85.1235252
Shimla,Economy,Bank branches operating as of 31st March 2019,* None,Number,99,31.1041526,77.1709729
Ujjain,Economy,Bank branches operating as of 31st March 2019,* None,Number,89,23.1885131,75.7716562
Karimnagar,Economy,Bank branches operating as of 31st March 2019,* None,Number,87,18.4348122,79.1328042
Vellore,Economy,Bank branches operating as of 31st March 2019,* None,Number,83,12.7948109,79.0006411
Tumakuru,Economy,Bank branches operating as of 31st March 2019,* None,Number,75,13.3400771,77.1006208
Davangere,Economy,Bank branches operating as of 31st March 2019,* None,Number,74,14.4661266,75.9206361
Thanjavur,Economy,Bank branches operating as of 31st March 2019,* None,Number,69,10.7860267,79.1381497
Sagar,Economy,Bank branches operating as of 31st March 2019,* None,Number,67,21.75617035,88.12173958
Dindigul,Economy,Bank branches operating as of 31st March 2019,* None,Number,56,10.3303299,78.06739791
Gangtok,Economy,Bank branches operating as of 31st March 2019,* None,Number,54,27.329046,88.6122673
Portblair,Economy,Bank branches operating as of 31st March 2019,* None,Number,50,11.623377,92.726486
Satna,Economy,Bank branches operating as of 31st March 2019,* None,Number,47,24.5,81
Rae Bareli,Economy,Bank branches operating as of 31st March 2019,* None,Number,46,26.25,81.25
Itanagar,Economy,Bank branches operating as of 31st March 2019,* None,Number,46,27.0979659,93.6237291
Bhagalpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,44,25.2494829,86.9828131
Dharamshala,Economy,Bank branches operating as of 31st March 2019,* None,Number,42,32.2143039,76.3196717
Kohima,Economy,Bank branches operating as of 31st March 2019,* None,Number,42,25.6618755,94.1019156
Aizawl,Economy,Bank branches operating as of 31st March 2019,* None,Number,35,23.7435236,92.7382905
Silvassa,Economy,Bank branches operating as of 31st March 2019,* None,Number,34,20.2736768,73.0045787
Biharsharif,Economy,Bank branches operating as of 31st March 2019,* None,Number,32,25.20383185,85.52413405
Dahod,Economy,Bank branches operating as of 31st March 2019,* None,Number,30,22.8358786,74.2556823
Panaji,Economy,Bank branches operating as of 31st March 2019,* None,Number,20,15.4989946,73.8282141
Pasighat,Economy,Bank branches operating as of 31st March 2019,* None,Number,18,28.0589676,95.3324944
Jhansi,Economy,Bank branches operating as of 31st March 2019,* None,Number,14,25.35486455,78.42564421
Diu,Economy,Bank branches operating as of 31st March 2019,* None,Number,13,20.71817495,70.93238341
Kavaratti,Economy,Bank branches operating as of 31st March 2019,* None,Number,4,10.55905,72.6365688
