City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Ramagundam,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1282,18.7615156,79.4787848
Kochi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1037.51,9.9674277,76.2454436
Gorakhpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),829.09,26.7792395,83.41368128
Nagpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),520,21.1498134,79.0820556
Greater Mumbai,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),436.34,19.1074889,72.8718705
Gangtok,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),399.58,27.329046,88.6122673
Kavaratti,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),331.76,10.55905,72.6365688
Lucknow,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),266,26.8381,80.9346001
Jabalpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),265.2,23.1608938,79.9497702
Rourkela,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),251.73,22.2539994,84.85775201
Malegaon,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),225,20.58968735,74.5717573
Bhavnagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),210,21.7718836,72.1416449
Warangal,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),152.3,17.9820644,79.5970954
Vasai Virar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),132.11,19.4210423,72.8197221
Belagavi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),107,15.8572666,74.5069343
Dahod,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),105,22.8358786,74.2556823
Chennai,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),97.67,13.0836939,80.270186
Amritsar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),93.95,31.6343083,74.8736788
Bengaluru,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),89.82,12.9767936,77.590082
Kakinada,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),76.3,16.99716705,82.2457999
Tirunelveli,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),72,8.7012203,77.5792694
Sivakasi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),65.6,9.4669895,77.77597857
Bhagalpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),38.07,25.2494829,86.9828131
Ghaziabad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),32,28.6711527,77.4120356
Pasighat,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),29.72,28.0589676,95.3324944
Singrauli,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),25,24.1974432,82.6661453
Varanasi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),9.202,25.3356491,83.0076292
Biharsharif,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),4,25.20383185,85.52413405
Navi Mumbai,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),2,19.0308262,73.0198537
Thane,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),2,19.1943294,72.9701779
Mira Bhayandar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1.5,19.3102682,72.8530973
Bhiwandi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1,19.3625308,73.08048927
Karnal,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.86,29.6803266,76.9896254
Ranchi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.68,23.3700501,85.3250387
Srinagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.43,34.0747444,74.8204443
Kota,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.08,25.1737019,75.8574194
Panaji,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.073,15.4989946,73.8282141
Tiruppur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.06,11.1017815,77.345192
Jalandhar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.03,31.3323762,75.576889
Ahmadnagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.028,19.074352,74.7219979
Pune,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.028,18.521428,73.8544541
Bhubaneshwar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.02,20.2602964,85.8394521
Pimpri Chinchwad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0197,18.6279288,73.8009829
Vishakhapatnam,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.016,17.686815,83.218483
Moradabad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.015,28.8334982,78.7732864
Gwalior,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.015,26.2037247,78.1573628
Agartala,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.01,23.8312377,91.2823821
Dharamshala,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.01,32.2143039,76.3196717
Itanagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0098,27.0979659,93.6237291
Ajmer,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.009458,26.4691,74.639
Jamnagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.009322,22.4732415,70.0552102
Palampur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0088,32.0893012,76.5098927
Surat,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00754,21.17024,72.831062
Aizawl,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0074,23.7435236,92.7382905
Guwahati,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0073,26.1805978,91.753943
Namchi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.007,27.1716157,88.41269169
Agra,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0065,27.1752554,78.0098161
Mandi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.005,31.6723392,76.95331691
Shivamogga,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00427,14.0558284,75.1312534
Chandrapur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0034,20.0967555,79.50454752
Silvassa,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00314,20.2736768,73.0045787
Indore,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00249,22.7203616,75.8681996
Satna,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.001,24.5,81
Latur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00078,18.35159075,76.75542361
Saharanpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.000765,30.0196485,77.59294245
Dindigul,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.0002,10.3303299,78.06739791
Kozhikode,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),0.00016,11.2450558,75.7754716
