City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Greater Mumbai,Economy,Cluster strength,* None,Number,117,19.1074889,72.8718705
Bengaluru,Economy,Cluster strength,* None,Number,104,12.9767936,77.590082
Panaji,Economy,Cluster strength,* None,Number,103,15.4989946,73.8282141
Pune,Economy,Cluster strength,* None,Number,97,18.521428,73.8544541
Pimpri Chinchwad,Economy,Cluster strength,* None,Number,97,18.6279288,73.8009829
Ulhasnagar,Economy,Cluster strength,* None,Number,94,19.19381615,73.19143235
Kalyan Dombivali,Economy,Cluster strength,* None,Number,94,19.2391602,73.1293186
Thane,Economy,Cluster strength,* None,Number,94,19.1943294,72.9701779
Ahmedabad,Economy,Cluster strength,* None,Number,94,23.0216238,72.5797068
Mira Bhayandar,Economy,Cluster strength,* None,Number,94,19.3102682,72.8530973
Loni,Economy,Cluster strength,* None,Number,86,20.79440815,77.67133274
Ghaziabad,Economy,Cluster strength,* None,Number,86,28.6711527,77.4120356
Chennai,Economy,Cluster strength,* None,Number,80,13.0836939,80.270186
Manesar,Economy,Cluster strength,* None,Number,79,28.32470955,76.92637867
Gurugram,Economy,Cluster strength,* None,Number,79,28.4646148,77.0299194
Hyderabad,Economy,Cluster strength,* None,Number,77,17.360589,78.4740613
Coimbatore,Economy,Cluster strength,* None,Number,67,11.0018115,76.9628425
Avadi,Economy,Cluster strength,* None,Number,67,13.1194809,80.1026704
Kanchipuram,Economy,Cluster strength,* None,Number,66,12.9647163,79.9839686
Faridabad,Economy,Cluster strength,* None,Number,65,28.4031478,77.3105561
Jaipur,Economy,Cluster strength,* None,Number,65,26.9154576,75.8189817
Lucknow,Economy,Cluster strength,* None,Number,62,26.8381,80.9346001
Vishakhapatnam,Economy,Cluster strength,* None,Number,61,17.686815,83.218483
New Town Kolkata,Economy,Cluster strength,* None,Number,60,22.59591305,88.48786528
Kochi,Economy,Cluster strength,* None,Number,57,9.9674277,76.2454436
Vadodara,Economy,Cluster strength,* None,Number,57,22.2973142,73.1942567
Machillipatnam,Economy,Cluster strength,* None,Number,55,16.17,81.129997
Surat,Economy,Cluster strength,* None,Number,55,21.17024,72.831062
Vijayawada,Economy,Cluster strength,* None,Number,55,16.5087573,80.6185089
Chandigarh,Economy,Cluster strength,* None,Number,54,30.7334421,76.7797143
Thrissur,Economy,Cluster strength,* None,Number,54,10.5270099,76.214621
Thiruvananthapuram,Economy,Cluster strength,* None,Number,54,8.4882267,76.947551
Patna,Economy,Cluster strength,* None,Number,54,25.6093239,85.1235252
Ludhiana,Economy,Cluster strength,* None,Number,52,30.9090157,75.851601
Madurai,Economy,Cluster strength,* None,Number,51,9.9261153,78.1140983
Indore,Economy,Cluster strength,* None,Number,51,22.7203616,75.8681996
Meerut,Economy,Cluster strength,* None,Number,51,28.9826533,77.7081013
Bhavnagar,Economy,Cluster strength,* None,Number,51,21.7718836,72.1416449
Guwahati,Economy,Cluster strength,* None,Number,51,26.1805978,91.753943
Rajkot,Economy,Cluster strength,* None,Number,51,22.3053263,70.8028377
