City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Rajahmundry,Economy,Number of ATMs operating in the city,* None,Number,217,17.0050454,81.7804732
Shivamogga,Economy,Number of ATMs operating in the city,* None,Number,214,14.0558284,75.1312534
Solapur,Economy,Number of ATMs operating in the city,* None,Number,211,17.84990665,75.27632027
Ayodhya,Economy,Number of ATMs operating in the city,* None,Number,211,26.7990707,82.2052321
Tiruchirapalli,Economy,Number of ATMs operating in the city,* None,Number,210,10.76316505,78.71326006
Gaya,Economy,Number of ATMs operating in the city,* None,Number,210,24.7964355,85.0079563
Muzaffarpur,Economy,Number of ATMs operating in the city,* None,Number,206,26.1667052,85.4166314
Jamnagar,Economy,Number of ATMs operating in the city,* None,Number,202,22.4732415,70.0552102
Bhavnagar,Economy,Number of ATMs operating in the city,* None,Number,198,21.7718836,72.1416449
Nanded Waghala,Economy,Number of ATMs operating in the city,* None,Number,190,19.111987,77.3246047
Rohtak,Economy,Number of ATMs operating in the city,* None,Number,189,28.9010899,76.5801935
Ahmadnagar,Economy,Number of ATMs operating in the city,* None,Number,188,19.074352,74.7219979
Nagercoil,Economy,Number of ATMs operating in the city,* None,Number,186,8.1880471,77.4290492
Kakinada,Economy,Number of ATMs operating in the city,* None,Number,186,16.99716705,82.2457999
Bilaspur,Economy,Number of ATMs operating in the city,* None,Number,185,28.8680526,79.29838501
Anantapur,Economy,Number of ATMs operating in the city,* None,Number,185,14.6546235,77.55625984
Shimla,Economy,Number of ATMs operating in the city,* None,Number,176,31.1041526,77.1709729
Saharanpur,Economy,Number of ATMs operating in the city,* None,Number,171,30.0196485,77.59294245
Moradabad,Economy,Number of ATMs operating in the city,* None,Number,160,28.8334982,78.7732864
Ujjain,Economy,Number of ATMs operating in the city,* None,Number,155,23.1885131,75.7716562
Karimnagar,Economy,Number of ATMs operating in the city,* None,Number,153,18.4348122,79.1328042
Bathinda,Economy,Number of ATMs operating in the city,* None,Number,146,30.206791,74.9463699
Dhanbad,Economy,Number of ATMs operating in the city,* None,Number,145,23.7952809,86.4309638
Haridwar,Economy,Number of ATMs operating in the city,* None,Number,144,29.9384473,78.1452985
Bhagalpur,Economy,Number of ATMs operating in the city,* None,Number,143,25.2494829,86.9828131
Akola,Economy,Number of ATMs operating in the city,* None,Number,139,20.76181225,77.19211567
Sagar,Economy,Number of ATMs operating in the city,* None,Number,138,21.75617035,88.12173958
Thoothukudi,Economy,Number of ATMs operating in the city,* None,Number,137,8.8052602,78.1452745
Hosur,Economy,Number of ATMs operating in the city,* None,Number,137,12.7328844,77.8309478
Korba,Economy,Number of ATMs operating in the city,* None,Number,136,22.3547468,82.7110855
Aizawl,Economy,Number of ATMs operating in the city,* None,Number,129,23.7435236,92.7382905
New Delhi Municipal Council,Economy,Number of ATMs operating in the city,* None,Number,126,28.633024,77.2111811
Lucknow,Economy,Number of ATMs operating in the city,* None,Number,123,26.8381,80.9346001
Hazaribagh,Economy,Number of ATMs operating in the city,* None,Number,120,23.9675151,85.43884569
Thane,Economy,Number of ATMs operating in the city,* None,Number,120,19.1943294,72.9701779
Jhansi,Economy,Number of ATMs operating in the city,* None,Number,117,25.35486455,78.42564421
Gangtok,Economy,Number of ATMs operating in the city,* None,Number,113,27.329046,88.6122673
Vellore,Economy,Number of ATMs operating in the city,* None,Number,111,12.7948109,79.0006411
Jalgaon,Economy,Number of ATMs operating in the city,* None,Number,110,20.84288265,75.52612464
Karnal,Economy,Number of ATMs operating in the city,* None,Number,109,29.6803266,76.9896254
Srikakulam,Economy,Number of ATMs operating in the city,* None,Number,105,18.32002205,83.9160772
Erode,Economy,Number of ATMs operating in the city,* None,Number,105,11.3692044,77.67662687
Portblair,Economy,Number of ATMs operating in the city,* None,Number,104,11.623377,92.726486
Latur,Economy,Number of ATMs operating in the city,* None,Number,102,18.35159075,76.75542361
Chittoor,Economy,Number of ATMs operating in the city,* None,Number,97,13.1601048,79.15555062
Thanjavur,Economy,Number of ATMs operating in the city,* None,Number,92,10.7860267,79.1381497
Junagadh,Economy,Number of ATMs operating in the city,* None,Number,91,21.5174104,70.4642754
Itanagar,Economy,Number of ATMs operating in the city,* None,Number,88,27.0979659,93.6237291
Rourkela,Economy,Number of ATMs operating in the city,* None,Number,88,22.2539994,84.85775201
Tirunelveli,Economy,Number of ATMs operating in the city,* None,Number,87,8.7012203,77.5792694
Raigarh,Economy,Number of ATMs operating in the city,* None,Number,86,22.5,83.5
Kohima,Economy,Number of ATMs operating in the city,* None,Number,82,25.6618755,94.1019156
Daman,Economy,Number of ATMs operating in the city,* None,Number,78,20.42000485,72.8637629
Chandrapur,Economy,Number of ATMs operating in the city,* None,Number,74,20.0967555,79.50454752
Khammam,Economy,Number of ATMs operating in the city,* None,Number,72,17.2465351,80.1500326
Silvassa,Economy,Number of ATMs operating in the city,* None,Number,70,20.2736768,73.0045787
Phagwara,Economy,Number of ATMs operating in the city,* None,Number,66,31.2206734,75.7696463
Abohar,Economy,Number of ATMs operating in the city,* None,Number,66,30.1450543,74.1956597
Navi Mumbai,Economy,Number of ATMs operating in the city,* None,Number,60,19.0308262,73.0198537
Sivakasi,Economy,Number of ATMs operating in the city,* None,Number,59,9.4669895,77.77597857
Dahod,Economy,Number of ATMs operating in the city,* None,Number,57,22.8358786,74.2556823
Morena,Economy,Number of ATMs operating in the city,* None,Number,57,26.166667,77.5
Gandhinagar,Economy,Number of ATMs operating in the city,* None,Number,56,23.2232877,72.6492267
New Town Kolkata,Economy,Number of ATMs operating in the city,* None,Number,54,22.59591305,88.48786528
Satna,Economy,Number of ATMs operating in the city,* None,Number,53,24.5,81
Chhindwara,Economy,Number of ATMs operating in the city,* None,Number,44,22.0578244,78.9386203
Biharsharif,Economy,Number of ATMs operating in the city,* None,Number,42,25.20383185,85.52413405
Mandi,Economy,Number of ATMs operating in the city,* None,Number,41,31.6723392,76.95331691
Dharamshala,Economy,Number of ATMs operating in the city,* None,Number,39,32.2143039,76.3196717
Amaravati,Economy,Number of ATMs operating in the city,* None,Number,37,16.5096679,80.5184535
Kalyan Dombivali,Economy,Number of ATMs operating in the city,* None,Number,35,19.2391602,73.1293186
Palampur,Economy,Number of ATMs operating in the city,* None,Number,33,32.0893012,76.5098927
Bhiwandi,Economy,Number of ATMs operating in the city,* None,Number,28,19.3625308,73.08048927
Malegaon,Economy,Number of ATMs operating in the city,* None,Number,28,20.58968735,74.5717573
