City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Pune,Economy,Total number of MSME clusters in the city,* None,Number,342920,18.521428,73.8544541
Pimpri Chinchwad,Economy,Total number of MSME clusters in the city,* None,Number,279006,18.6279288,73.8009829
Warangal,Economy,Total number of MSME clusters in the city,* None,Number,265863,17.9820644,79.5970954
Bhiwandi,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.3625308,73.08048927
Navi Mumbai,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.0308262,73.0198537
Ulhasnagar,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.19381615,73.19143235
Mira Bhayandar,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.3102682,72.8530973
Thane,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.1943294,72.9701779
Kalyan Dombivali,Economy,Total number of MSME clusters in the city,* None,Number,259616,19.2391602,73.1293186
Greater Mumbai,Economy,Total number of MSME clusters in the city,* None,Number,224326,19.1074889,72.8718705
Ahmedabad,Economy,Total number of MSME clusters in the city,* None,Number,211546,23.0216238,72.5797068
Bengaluru,Economy,Total number of MSME clusters in the city,* None,Number,208654,12.9767936,77.590082
Jaipur,Economy,Total number of MSME clusters in the city,* None,Number,203228,26.9154576,75.8189817
Surat,Economy,Total number of MSME clusters in the city,* None,Number,196988,21.17024,72.831062
Chennai,Economy,Total number of MSME clusters in the city,* None,Number,160714,13.0836939,80.270186
Municipal Corporation of Delhi,Economy,Total number of MSME clusters in the city,* None,Number,147353,28.56838425,77.23814069
Ongole,Economy,Total number of MSME clusters in the city,* None,Number,114261,15.5075545,80.06080047
Coimbatore,Economy,Total number of MSME clusters in the city,* None,Number,109461,11.0018115,76.9628425
Nashik,Economy,Total number of MSME clusters in the city,* None,Number,109445,20.0112475,73.7902364
Malegaon,Economy,Total number of MSME clusters in the city,* None,Number,109445,20.58968735,74.5717573
Nagpur,Economy,Total number of MSME clusters in the city,* None,Number,102023,21.1498134,79.0820556
Aurangabad,Economy,Total number of MSME clusters in the city,* None,Number,96996,19.877263,75.3390241
Kolhapur,Economy,Total number of MSME clusters in the city,* None,Number,95234,16.7028412,74.2405329
Rajkot,Economy,Total number of MSME clusters in the city,* None,Number,94972,22.3053263,70.8028377
Machillipatnam,Economy,Total number of MSME clusters in the city,* None,Number,94586,16.17,81.129997
Ludhiana,Economy,Total number of MSME clusters in the city,* None,Number,90348,30.9090157,75.851601
Ahmadnagar,Economy,Total number of MSME clusters in the city,* None,Number,80833,19.074352,74.7219979
Hyderabad,Economy,Total number of MSME clusters in the city,* None,Number,79982,17.360589,78.4740613
Panvel,Economy,Total number of MSME clusters in the city,* None,Number,79617,18.96558885,73.10288131
Solapur,Economy,Total number of MSME clusters in the city,* None,Number,78117,17.84990665,75.27632027
Vasai Virar,Economy,Total number of MSME clusters in the city,* None,Number,75840,19.4210423,72.8197221
Vadodara,Economy,Total number of MSME clusters in the city,* None,Number,75358,22.2973142,73.1942567
Salem,Economy,Total number of MSME clusters in the city,* None,Number,73670,11.664325,78.146011
Tiruppur,Economy,Total number of MSME clusters in the city,* None,Number,70301,11.1017815,77.345192
Indore,Economy,Total number of MSME clusters in the city,* None,Number,68843,22.7203616,75.8681996
Lucknow,Economy,Total number of MSME clusters in the city,* None,Number,66208,26.8381,80.9346001
Patna,Economy,Total number of MSME clusters in the city,* None,Number,62538,25.6093239,85.1235252
Katni,Economy,Total number of MSME clusters in the city,* None,Number,60987,23.7477258,80.4015857
Loni,Economy,Total number of MSME clusters in the city,* None,Number,60094,20.79440815,77.67133274
Ghaziabad,Economy,Total number of MSME clusters in the city,* None,Number,60094,28.6711527,77.4120356
Madurai,Economy,Total number of MSME clusters in the city,* None,Number,59647,9.9261153,78.1140983
Manesar,Economy,Total number of MSME clusters in the city,* None,Number,53164,28.32470955,76.92637867
Gurugram,Economy,Total number of MSME clusters in the city,* None,Number,53164,28.4646148,77.0299194
Jalgaon,Economy,Total number of MSME clusters in the city,* None,Number,52909,20.84288265,75.52612464
Sangli,Economy,Total number of MSME clusters in the city,* None,Number,52372,17.1726928,74.58676543
Avadi,Economy,Total number of MSME clusters in the city,* None,Number,51398,13.1194809,80.1026704
Mangalagiri,Economy,Total number of MSME clusters in the city,* None,Number,50386,16.4318209,80.5688069
Belagavi,Economy,Total number of MSME clusters in the city,* None,Number,50138,15.8572666,74.5069343
Chittoor,Economy,Total number of MSME clusters in the city,* None,Number,49439,13.1601048,79.15555062
Faridabad,Economy,Total number of MSME clusters in the city,* None,Number,48416,28.4031478,77.3105561
Dahod,Economy,Total number of MSME clusters in the city,* None,Number,48208,22.8358786,74.2556823
Kanchipuram,Economy,Total number of MSME clusters in the city,* None,Number,48188,12.9647163,79.9839686
New Town Kolkata,Economy,Total number of MSME clusters in the city,* None,Number,47961,22.59591305,88.48786528
Ajmer,Economy,Total number of MSME clusters in the city,* None,Number,47748,26.4691,74.639
Erode,Economy,Total number of MSME clusters in the city,* None,Number,47672,11.3692044,77.67662687
Badangpet,Economy,Total number of MSME clusters in the city,* None,Number,46869,17.3223752,78.5280344
Bandlaguda Jagir,Economy,Total number of MSME clusters in the city,* None,Number,46869,17.3506317,78.3907531
Kochi,Economy,Total number of MSME clusters in the city,* None,Number,46643,9.9674277,76.2454436
