City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Meerut,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),274212050,28.9826533,77.7081013
Aurangabad,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),1764840,19.877263,75.3390241
Municipal Corporation of Delhi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),1210108,28.56838425,77.23814069
Chennai,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),339511,13.0836939,80.270186
Pimpri Chinchwad,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),246636.4092,18.6279288,73.8009829
Hyderabad,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),186703.07,17.360589,78.4740613
Gurugram,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),164433.75,28.4646148,77.0299194
Bengaluru,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),159767,12.9767936,77.590082
Jodhpur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),136013.407,26.2967719,73.0351433
Kochi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),96639,9.9674277,76.2454436
Thane,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),85298.77,19.1943294,72.9701779
Kalyan Dombivali,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),85298.77,19.2391602,73.1293186
Navi Mumbai,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),85298,19.0308262,73.0198537
Bhopal,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),74438.69,23.2584857,77.401989
Jalandhar,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),60101.35,31.3323762,75.576889
Indore,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),58305.45,22.7203616,75.8681996
Nashik,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),46649.16,20.0112475,73.7902364
Solapur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),43385,17.84990665,75.27632027
Jhansi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),43000,25.35486455,78.42564421
Varanasi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),36766.35,25.3356491,83.0076292
Jaipur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),36402,26.9154576,75.8189817
Kanpur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),35900,26.4609135,80.3217588
Gandhinagar,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),31011,23.2232877,72.6492267
Mangaluru,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),30135.57,12.8698101,74.8430082
Puducherry,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),25777,10.91564885,79.8069488
Ranchi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),25576.84,23.3700501,85.3250387
Vasai Virar,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),24763.4,19.4210423,72.8197221
Ajmer,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),23839.91,26.4691,74.639
Pune,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),20865.84,18.521428,73.8544541
Vellore,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),18936,12.7948109,79.0006411
Bilaspur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),18871.59,28.8680526,79.29838501
Dehradun,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),17763.63,30.3255646,78.0436813
Madurai,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),17476,9.9261153,78.1140983
Aligarh,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),16639,27.833333,78.166667
Hubli Dharwad,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),16521.87,15.3518378,75.1379848
Amravati,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),14877,21.15454115,77.64429618
Saharanpur,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),14307.24,30.0196485,77.59294245
Thoothukudi,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),13458.85,8.8052602,78.1452745
Prayagraj,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),13374,25.4381302,81.8338005
Sagar,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),11565.25,21.75617035,88.12173958
Warangal,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),11142.26,17.9820644,79.5970954
Ludhiana,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),9685,30.9090157,75.851601
Coimbatore,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),9138,11.0018115,76.9628425
Tiruchirapalli,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),9002.5,10.76316505,78.71326006
Rajkot,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),8621.34,22.3053263,70.8028377
Kakinada,Economy,Average value of savings deposits in banks as of 31st March 2019,* None,Number (In Crore),8560.99,16.99716705,82.2457999
