City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Bengaluru,Economy,Number of bank branches operating in the city,* None,Number,1804,12.9767936,77.590082
Chennai,Economy,Number of bank branches operating in the city,* None,Number,1274,13.0836939,80.270186
Ahmedabad,Economy,Number of bank branches operating in the city,* None,Number,1191,23.0216238,72.5797068
Greater Mumbai,Economy,Number of bank branches operating in the city,* None,Number,940,19.1074889,72.8718705
Jalandhar,Economy,Number of bank branches operating in the city,* None,Number,832,31.3323762,75.576889
Pune,Economy,Number of bank branches operating in the city,* None,Number,811,18.521428,73.8544541
Kanpur,Economy,Number of bank branches operating in the city,* None,Number,611,26.4609135,80.3217588
Gurugram,Economy,Number of bank branches operating in the city,* None,Number,582,28.4646148,77.0299194
Madurai,Economy,Number of bank branches operating in the city,* None,Number,575,9.9261153,78.1140983
Dehradun,Economy,Number of bank branches operating in the city,* None,Number,560,30.3255646,78.0436813
Surat,Economy,Number of bank branches operating in the city,* None,Number,554,21.17024,72.831062
Dindigul,Economy,Number of bank branches operating in the city,* None,Number,538,10.3303299,78.06739791
Jaipur,Economy,Number of bank branches operating in the city,* None,Number,534,26.9154576,75.8189817
Bhopal,Economy,Number of bank branches operating in the city,* None,Number,519,23.2584857,77.401989
Panvel,Economy,Number of bank branches operating in the city,* None,Number,514,18.96558885,73.10288131
Indore,Economy,Number of bank branches operating in the city,* None,Number,499,22.7203616,75.8681996
Kozhikode,Economy,Number of bank branches operating in the city,* None,Number,488,11.2450558,75.7754716
Varanasi,Economy,Number of bank branches operating in the city,* None,Number,488,25.3356491,83.0076292
Vadodara,Economy,Number of bank branches operating in the city,* None,Number,484,22.2973142,73.1942567
Raipur,Economy,Number of bank branches operating in the city,* None,Number,482,21.2380912,81.6336993
Chandigarh,Economy,Number of bank branches operating in the city,* None,Number,477,30.7334421,76.7797143
Hyderabad,Economy,Number of bank branches operating in the city,* None,Number,466,17.360589,78.4740613
Meerut,Economy,Number of bank branches operating in the city,* None,Number,453,28.9826533,77.7081013
Vishakhapatnam,Economy,Number of bank branches operating in the city,* None,Number,440,17.686815,83.218483
