City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Bhagalpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.2494829,86.9828131
Vasai Virar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,19.4210423,72.8197221
Belagavi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,15.8572666,74.5069343
Rajkot,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,22.3053263,70.8028377
Moradabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,28.8334982,78.7732864
Rae Bareli,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,26.25,81.25
Saharanpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,30.0196485,77.59294245
Muzaffarpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,26.1667052,85.4166314
Namchi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.1716157,88.41269169
Sagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,21.75617035,88.12173958
Amravati,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,21.15454115,77.64429618
Aligarh,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.833333,78.166667
Pimpri Chinchwad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,18.6279288,73.8009829
Rampur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,24.890091,83.73254275
Aizawl,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.7435236,92.7382905
Gandhinagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.2232877,72.6492267
Gangtok,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.329046,88.6122673
Thoothukudi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,8.8052602,78.1452745
Prayagraj,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.4381302,81.8338005
Imphal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,24.7991162,93.9364419
Diu,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,20.71817495,70.93238341
Itanagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.0979659,93.6237291
Thane,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,19.1943294,72.9701779
Jalandhar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,31.3323762,75.576889
Dindigul,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,10.3303299,78.06739791
Surat,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,21.17024,72.831062
Dharamshala,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,32.2143039,76.3196717
Dhanbad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.7952809,86.4309638
Jhansi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.35486455,78.42564421
Srinagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,34.0747444,74.8204443
Agra,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.1752554,78.0098161
Tumakuru,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,13.3400771,77.1006208
Davangere,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,14.4661266,75.9206361
Solapur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,17.84990665,75.27632027
Dahod,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,22.8358786,74.2556823
Kakinada,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,16.99716705,82.2457999
Kalyan Dombivali,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,19.2391602,73.1293186
Silvassa,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,20.2736768,73.0045787
Karimnagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,18.4348122,79.1328042
Karnal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,29.6803266,76.9896254
Shivamogga,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,14.0558284,75.1312534
Kavaratti,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,10.55905,72.6365688
Ujjain,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.1885131,75.7716562
Bilaspur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,28.8680526,79.29838501
Kochi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,9.9674277,76.2454436
Biharsharif,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.20383185,85.52413405
Vadodara,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,22.2973142,73.1942567
