City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Thiruvananthapuram,Economy,Cluster strength,* None,Number,4.522,8.4882267,76.947551
Hubli Dharwad,Economy,Cluster strength,* None,Number,4.437,15.3518378,75.1379848
Moradabad,Economy,Cluster strength,* None,Number,4.271,28.8334982,78.7732864
Tirunelveli,Economy,Cluster strength,* None,Number,4.249,8.7012203,77.5792694
Rampur,Economy,Cluster strength,* None,Number,4.194,24.890091,83.73254275
Tumakuru,Economy,Cluster strength,* None,Number,4.106,13.3400771,77.1006208
Aligarh,Economy,Cluster strength,* None,Number,4.012,27.833333,78.166667
Dharamshala,Economy,Cluster strength,* None,Number,3.744,32.2143039,76.3196717
Srinagar,Economy,Cluster strength,* None,Number,3.679,34.0747444,74.8204443
Shivamogga,Economy,Cluster strength,* None,Number,3.27,14.0558284,75.1312534
Varanasi,Economy,Cluster strength,* None,Number,3.246,25.3356491,83.0076292
Bhubaneshwar,Economy,Cluster strength,* None,Number,3.098,20.2602964,85.8394521
Ranchi,Economy,Cluster strength,* None,Number,3.077,23.3700501,85.3250387
Amritsar,Economy,Cluster strength,* None,Number,2.937,31.6343083,74.8736788
Patna,Economy,Cluster strength,* None,Number,2.646,25.6093239,85.1235252
Jabalpur,Economy,Cluster strength,* None,Number,2.413,23.1608938,79.9497702
Itanagar,Economy,Cluster strength,* None,Number,2.284,27.0979659,93.6237291
Davangere,Economy,Cluster strength,* None,Number,2.277,14.4661266,75.9206361
Thanjavur,Economy,Cluster strength,* None,Number,1.86,10.7860267,79.1381497
Muzaffarpur,Economy,Cluster strength,* None,Number,1.828,26.1667052,85.4166314
Amravati,Economy,Cluster strength,* None,Number,1.563,21.15454115,77.64429618
Karimnagar,Economy,Cluster strength,* None,Number,1.553,18.4348122,79.1328042
Municipal Corporation of Delhi,Economy,Cluster strength,* None,Number,1.533,28.56838425,77.23814069
Portblair,Economy,Cluster strength,* None,Number,1.234,11.623377,92.726486
Shillong,Economy,Cluster strength,* None,Number,0.86,25.5760446,91.8825282
Warangal,Economy,Cluster strength,* None,Number,0.639,17.9820644,79.5970954
Biharsharif,Economy,Cluster strength,* None,Number,0.53,25.20383185,85.52413405
Kohima,Economy,Cluster strength,* None,Number,0.498,25.6618755,94.1019156
Agartala,Economy,Cluster strength,* None,Number,0.390066235,23.8312377,91.2823821
Bhagalpur,Economy,Cluster strength,* None,Number,0.227,25.2494829,86.9828131
Imphal,Economy,Cluster strength,* None,Number,0.177,24.7991162,93.9364419
