City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Nagpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,825,21.1498134,79.0820556
Pune,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,291,18.521428,73.8544541
Nashik,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,85,20.0112475,73.7902364
Chandrapur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,66,20.0967555,79.50454752
Dhanbad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,58,23.7952809,86.4309638
Amravati,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,51,21.15454115,77.64429618
Hubli Dharwad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,49,15.3518378,75.1379848
Purnia,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,49,26,87.5
Madurai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,36,9.9261153,78.1140983
Guwahati,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,33,26.1805978,91.753943
Jabalpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,30,23.1608938,79.9497702
Vasai Virar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,28,19.4210423,72.8197221
Vellore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,28,12.7948109,79.0006411
Surat,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,26,21.17024,72.831062
Greater Mumbai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,24,19.1074889,72.8718705
Aligarh,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,23,27.833333,78.166667
Ulhasnagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,23,19.19381615,73.19143235
Pimpri Chinchwad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,22,18.6279288,73.8009829
Varanasi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,22,25.3356491,83.0076292
Jalgaon,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,20,20.84288265,75.52612464
Shimla,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,20,31.1041526,77.1709729
Hyderabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,18,17.360589,78.4740613
Thanjavur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,18,10.7860267,79.1381497
Guntur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,15,16.2915189,80.4541588
Itanagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,15,27.0979659,93.6237291
Ahmedabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,15,23.0216238,72.5797068
Shivamogga,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,15,14.0558284,75.1312534
Bhiwandi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,15,19.3625308,73.08048927
Erode,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,14,11.3692044,77.67662687
Malegaon,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,12,20.58968735,74.5717573
Gandhinagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,12,23.2232877,72.6492267
Bhopal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,12,23.2584857,77.401989
Nanded Waghala,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,12,19.111987,77.3246047
Latur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,12,18.35159075,76.75542361
Gangtok,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,11,27.329046,88.6122673
Coimbatore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,11,11.0018115,76.9628425
Palampur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,11,32.0893012,76.5098927
Navi Mumbai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,10,19.0308262,73.0198537
Bhubaneshwar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,10,20.2602964,85.8394521
Tiruppur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,9,11.1017815,77.345192
Panchkula,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,9,30.7137692,76.868276
Jhansi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,8,25.35486455,78.42564421
Chandigarh,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,8,30.7334421,76.7797143
Gaya,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,8,24.7964355,85.0079563
Chhindwara,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,7,22.0578244,78.9386203
Pasighat,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,28.0589676,95.3324944
Indore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,22.7203616,75.8681996
Bathinda,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,30.206791,74.9463699
Tiruchirapalli,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,10.76316505,78.71326006
Rajkot,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,22.3053263,70.8028377
Gorakhpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,26.7792395,83.41368128
Jamshedpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,22.8015194,86.2029579
Vishakhapatnam,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,17.686815,83.218483
Portblair,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,11.623377,92.726486
Ranchi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,23.3700501,85.3250387
Khammam,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,17.2465351,80.1500326
Sivakasi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,9.4669895,77.77597857
Raipur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,21.2380912,81.6336993
Vadodara,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,22.2973142,73.1942567
New Delhi Municipal Council,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,28.633024,77.2111811
Kakinada,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,16.99716705,82.2457999
Silvassa,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,20.2736768,73.0045787
Karur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,10.9301522,78.08485455
Puducherry,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,10.91564885,79.8069488
Satna,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,24.5,81
Haridwar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,29.9384473,78.1452985
Moradabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,28.8334982,78.7732864
Vijayawada,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,16.5087573,80.6185089
Junagadh,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,21.5174104,70.4642754
New Town Kolkata,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,22.59591305,88.48786528
Agra,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,27.1752554,78.0098161
Bareilly,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,28.416667,79.383333
Rohtak,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,28.9010899,76.5801935
Phagwara,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,2,31.2206734,75.7696463
Kochi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,9.9674277,76.2454436
Saharanpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,30.0196485,77.59294245
Belagavi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,15.8572666,74.5069343
Srinagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,34.0747444,74.8204443
Amritsar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,31.6343083,74.8736788
Bhavnagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,21.7718836,72.1416449
Kollam,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,8.8879509,76.5955013
Kohima,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,25.6618755,94.1019156
Medininagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,24.02265335,84.11191073
Dewas,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,23,76.166667
Cuttack,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,20.4686,85.8792
Karnal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,29.6803266,76.9896254
Biharsharif,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,25.20383185,85.52413405
Ujjain,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,23.1885131,75.7716562
Jamnagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,22.4732415,70.0552102
Jalandhar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,31.3323762,75.576889
Bilaspur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,28.8680526,79.29838501
Peerzadiguda,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,17.3945004,78.5925253
Chennai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,13.0836939,80.270186
Tumakuru,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,13.3400771,77.1006208
Chittoor,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,13.1601048,79.15555062
Ayodhya,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,26.7990707,82.2052321
Nagercoil,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,8.1880471,77.4290492
Sonipat,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,28.9953758,77.0233627
Aurangabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,1,19.877263,75.3390241
Salem,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,11.664325,78.146011
Bhagalpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.2494829,86.9828131
Mandi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,31.6723392,76.95331691
Mangaluru,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,12.8698101,74.8430082
Meerut,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,28.9826533,77.7081013
Moga,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,30.8223408,75.1730967
Muzaffarpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,26.1667052,85.4166314
Solapur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,17.84990665,75.27632027
Namchi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,27.1716157,88.41269169
Dahod,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,22.8358786,74.2556823
Singrauli,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,24.1974432,82.6661453
Ajmer,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,26.4691,74.639
Nellore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,14.4493717,79.9873763
Aizawl,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.7435236,92.7382905
Pathankot,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,32.2692452,75.6528858
Abohar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,30.1450543,74.1956597
Shillong,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.5760446,91.8825282
Agartala,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,23.8312377,91.2823821
Prayagraj,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,25.4381302,81.8338005
Warangal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,17.9820644,79.5970954
Ramagundam,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,18.7615156,79.4787848
Sagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,21.75617035,88.12173958
Naya Raipur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,21.1610268,81.7864412
Dharamshala,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,32.2143039,76.3196717
Dindigul,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,10.3303299,78.06739791
Diu,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,20.71817495,70.93238341
Hosur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,12.7328844,77.8309478
Imphal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,24.7991162,93.9364419
Tirunelveli,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,8.7012203,77.5792694
Kalyan Dombivali,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,19.2391602,73.1293186
Thoothukudi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,8.8052602,78.1452745
Karimnagar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,18.4348122,79.1328042
Kavaratti,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,10.55905,72.6365688
Thane,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,0,19.1943294,72.9701779
