City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Patna,Economy,Number of ATMs operating in the city,* None,Number,25000,25.6093239,85.1235252
Municipal Corporation of Delhi,Economy,Number of ATMs operating in the city,* None,Number,8080,28.56838425,77.23814069
Bengaluru,Economy,Number of ATMs operating in the city,* None,Number,6008,12.9767936,77.590082
Chennai,Economy,Number of ATMs operating in the city,* None,Number,4156,13.0836939,80.270186
Hyderabad,Economy,Number of ATMs operating in the city,* None,Number,4016,17.360589,78.4740613
Kochi,Economy,Number of ATMs operating in the city,* None,Number,3042,9.9674277,76.2454436
Jaipur,Economy,Number of ATMs operating in the city,* None,Number,1468,26.9154576,75.8189817
Pune,Economy,Number of ATMs operating in the city,* None,Number,1346,18.521428,73.8544541
Nagpur,Economy,Number of ATMs operating in the city,* None,Number,1328,21.1498134,79.0820556
Surat,Economy,Number of ATMs operating in the city,* None,Number,1319,21.17024,72.831062
Coimbatore,Economy,Number of ATMs operating in the city,* None,Number,1287,11.0018115,76.9628425
Lucknow,Economy,Number of ATMs operating in the city,* None,Number,1235,26.8381,80.9346001
Ahmedabad,Economy,Number of ATMs operating in the city,* None,Number,1197,23.0216238,72.5797068
Indore,Economy,Number of ATMs operating in the city,* None,Number,1191,22.7203616,75.8681996
Gurugram,Economy,Number of ATMs operating in the city,* None,Number,1068,28.4646148,77.0299194
Bhopal,Economy,Number of ATMs operating in the city,* None,Number,1056,23.2584857,77.401989
Vadodara,Economy,Number of ATMs operating in the city,* None,Number,969,22.2973142,73.1942567
Kanpur,Economy,Number of ATMs operating in the city,* None,Number,925,26.4609135,80.3217588
Pimpri Chinchwad,Economy,Number of ATMs operating in the city,* None,Number,887,18.6279288,73.8009829
Bhubaneshwar,Economy,Number of ATMs operating in the city,* None,Number,812,20.2602964,85.8394521
Chandigarh,Economy,Number of ATMs operating in the city,* None,Number,765,30.7334421,76.7797143
Greater Mumbai,Economy,Number of ATMs operating in the city,* None,Number,728,19.1074889,72.8718705
Ranchi,Economy,Number of ATMs operating in the city,* None,Number,718,23.3700501,85.3250387
Vishakhapatnam,Economy,Number of ATMs operating in the city,* None,Number,688,17.686815,83.218483
Agra,Economy,Number of ATMs operating in the city,* None,Number,671,27.1752554,78.0098161
